Change in Rank_,Change in SAT RW 25th ,Change in SAT RW 75th ,Change in SAT Math 25th ,Change in SAT Math 75th ,Change in ACT 25th ,Change in ACT 75th ,Change in Adm Yield ,Change in Applicants total_
2.33259566459713,2.502022303445038,0.9649012813540154,1.6164477182409742,-0.6030226891555273,1.418240756749877,1.7320508075688774,-0.9525793444156804,-1.0716452530615168
0.7215943422854432,-0.6584269219592206,-0.32163376045133846,-0.5388159060803247,-0.6030226891555273,-1.5415660399455187,-0.5773502691896258,-1.4969103983674976,0.7940794780568446
1.1243446728633648,-0.6584269219592206,0.9649012813540154,-0.5388159060803247,1.2060453783110543,-0.06166264159782085,1.7320508075688774,-0.9525793444156804,-1.246910866174835
-0.08390631887040036,1.4485392283102854,2.2514363231593695,0.8980265101338746,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,1.7690759253434063,-0.9026921726238902
1.1243446728633648,-0.6584269219592206,-0.32163376045133846,-1.2572371141874243,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,1.224744871391589,-0.9734296711367867
-0.8894069800262439,0.3950561531755324,-0.32163376045133846,0.1796053020267749,1.2060453783110543,-1.5415660399455187,-0.5773502691896258,-1.224744871391589,0.06572460491749427
0.31884401170752136,-0.6584269219592206,-1.6081688022566922,0.1796053020267749,-0.6030226891555273,-3.0214694382932166,-0.5773502691896258,-0.13608276348795434,-0.8065188806824721
-0.8894069800262439,0.3950561531755324,-0.32163376045133846,0.8980265101338746,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,1.4969103983674976,-0.44818981997409935
-0.08390631887040036,-1.7119099970939737,-1.6081688022566922,-0.5388159060803247,-0.6030226891555273,-0.06166264159782085,1.7320508075688774,-0.6804138174397717,1.483445178787512
-1.2921573106041655,-0.6584269219592206,-0.32163376045133846,-1.2572371141874243,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,1.4969103983674976,0.29316144396814536
-2.097657971760009,-1.7119099970939737,0.9649012813540154,-1.2572371141874243,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,-0.408248290463863,1.650541631967582
-1.6949076411820871,-0.6584269219592206,-1.6081688022566922,-1.2572371141874243,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,1.7690759253434063,-1.8172667596961412
0.7215943422854432,1.4485392283102854,-0.32163376045133846,0.8980265101338746,1.2060453783110543,1.418240756749877,-0.5773502691896258,-0.6804138174397717,-0.7758845309327925
-0.08390631887040036,-0.6584269219592206,-0.32163376045133846,0.1796053020267749,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,-0.9525793444156804,-1.4542961308438775
-1.2921573106041655,-0.6584269219592206,0.9649012813540154,-0.5388159060803247,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,-0.408248290463863,1.8241362805490995
1.1243446728633648,0.3950561531755324,0.9649012813540154,1.6164477182409742,1.2060453783110543,-0.06166264159782085,1.7320508075688774,1.224744871391589,1.3718618806083762
-0.08390631887040036,-0.6584269219592206,-1.6081688022566922,-0.5388159060803247,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,-0.9525793444156804,0.6958638961321145
-0.08390631887040036,-0.6584269219592206,0.9649012813540154,-0.5388159060803247,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,0.6804138174397717,-0.10619907913222239
-0.08390631887040036,1.4485392283102854,-0.32163376045133846,0.8980265101338746,1.2060453783110543,1.418240756749877,-0.5773502691896258,-0.6804138174397717,-0.07148014941591892
-0.08390631887040036,0.3950561531755324,0.9649012813540154,0.8980265101338746,1.2060453783110543,1.418240756749877,1.7320508075688774,0.6804138174397717,0.8781846928241467
-0.08390631887040036,0.3950561531755324,-0.32163376045133846,-1.2572371141874243,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,-0.13608276348795434,0.29371843214541227
1.1243446728633648,0.3950561531755324,-0.32163376045133846,-1.2572371141874243,-0.6030226891555273,-0.06166264159782085,1.7320508075688774,-0.13608276348795434,0.0070551835787140745
-0.08390631887040036,0.3950561531755324,0.9649012813540154,0.8980265101338746,3.0151134457776365,1.418240756749877,-0.5773502691896258,-0.13608276348795434,0.6056318114148767
0.31884401170752136,0.3950561531755324,-0.32163376045133846,1.6164477182409742,-0.6030226891555273,-0.06166264159782085,-0.5773502691896258,-0.408248290463863,-0.2888912012757658
